"FatherHeight"	"MotherHeight"	"Weight"	"Length"
176.7	172.8	3676.9	51.6
175.1	164	2828.1	48.2
178.8	169.1	3853.5	51.8
183.9	170	3815.3	51.3
178.1	166.9	3558.8	50.3
175.2	167.4	2937.5	47.4
177.6	162.7	2689.1	48.3
179	164.6	3108.9	49
178.6	162.8	3272.1	49.2
175.6	172.8	3486.2	50.3
168.2	169.1	3195.6	51.1
170	163.9	2345.6	45.2
171.9	165.7	2687	47.6
176.4	167.8	2940.1	48.5
177.3	167.8	3111.5	48.4
180.1	163.6	3703	52
179.1	167.3	3744.6	53
177.9	170.2	3992.4	52.9
173.7	165.1	2760.7	47.1
179.5	164.9	3102.4	49
181.5	165.2	3382.9	49.8
174.3	172	3449.6	49.5
174.3	168.6	3121.9	48.9
172.4	161.5	1939.6	43.5
176	173.2	3776.1	51.3
173.1	168.8	3536.2	50.9
182.7	168.7	3868.4	51.9
182.8	168.9	3620.9	51
179.3	166.6	3788.3	52.3
177.6	171.1	3561.2	49.2
174.6	167.1	2942.6	48.3
173.9	166.9	3277.8	50.8
176.6	161.2	3138.5	49.7
172.5	165.5	3228	48.3
176	167.7	3108.7	48.6
175.6	168.9	3120.6	48.7
178.2	165.5	3238.8	51.3
177	172.4	4105.9	52.6
182.1	168.9	3903.2	51.9
179.6	165.8	3345.3	48
176	161.9	2998.5	49.3
180.9	163.7	3230	50
176.3	165.6	2223.5	44.1
175.1	168	3015.4	47.2
179.5	164.5	2665.9	46.5
177	169	3106	49.1
179.4	170.5	3299.2	48.3
168.1	166.6	2588	47.5
171.9	165.8	2894.4	48
178.6	166.2	3034.6	48.4
178.9	165.1	3691.7	51.4
169.1	165.3	2607.4	46.9
177.6	166.3	3081.1	46.7
177.1	168.4	3344.5	50.4
175.3	168.9	3193.3	49.1
183.6	172.1	4115.8	51.7
174.2	169.1	3197.5	49.3
172	168.6	2788.7	47.2
179.7	168.9	3738.9	51.8
180.9	170.6	3702.9	50.1
180.7	168.2	3481.2	49.4
172.4	165.8	2756.1	48.2
174.5	170.2	4037.9	53.3
179.6	163.9	2694.5	45.6
173.3	166.3	2964	49.9
185.6	163	3701.2	51.5
180.7	165.4	3401.5	49.4
174.5	170.9	3158.5	48.3
179.7	171.2	2919.4	46.8
175.2	168.4	3425.3	50.9
174.8	163.2	2337.8	44.1
179.4	167	4118.1	54
182.7	163	3267.4	50
173.8	166.8	3553.4	52.1
177.8	164.2	3553.9	51.6
175.7	175.2	3368.9	49
177.4	165	3307.4	50.2
178.4	168.4	4069.4	53.5
172.9	170.3	3212.6	49.4
172.5	162.9	2816.4	47.3
176.4	167.2	3207.7	50.2
177.3	168.8	3728.4	51.8
172.3	167	2828.7	49.6
178.6	172.3	3506.8	51
172.7	166.2	2681.7	46.8
174.8	161.9	2350.2	45.9
169.8	166.8	3328.6	50.2
173.4	165.4	2912.9	48.3
184.2	167.5	3418.9	49.7
176.5	169.7	3690.4	51.3
174.3	167.6	2765.5	46.6
174.2	167.1	3118.1	49
174.2	162.5	2370.5	45.7
181.2	165.7	3356.9	50.4
180.3	167.2	3690.6	50.2
180.3	168.5	3046.7	47.1
175	164.3	3212.8	49.6
177.8	167.6	3348.8	49.9
173.5	164.9	2768.8	47.7
186.2	170.3	3910.3	50.5
173.2	168.8	3272.9	51.1
176.6	165.7	3187.4	48.6
175.1	166.8	2793.1	47.6
173.6	161.5	2510.5	47.1
183.2	165.7	3329.5	49.2
179.6	167	3443.3	50.6
169.9	166.3	2908.7	48.4
175.6	166.5	2831.5	47.3
179.7	171.1	3812.6	51.8
171.3	168.5	2016.6	43.4
175.8	163	3050.2	48.5
178.2	168.2	3774	51.7
174.1	165.2	2825	47.1
180.5	167.5	3246.8	48.7
183.9	165.1	3092.4	48.1
177.7	166.1	3068.3	48.7
175.9	166	3195	50.4
176.7	163.4	2911	47.6
173.9	163.3	2581.7	45.8
177.5	168.3	3053	47.7
176.1	160.1	2276.9	46
173.5	164.9	2690.6	46.5
181.7	168.4	3394.4	48.7
176	167.4	3518.5	50.2
182.2	169.1	3661.4	51
175	167	2586.3	47.6
175.8	168.6	2907.3	46.5
182.6	166.5	4127.2	52.9
172	166.6	2781.9	46.9
171	165	2643.5	47
183	164	3155.4	48.9
178.5	164.7	3310.6	51.1
175.3	167.6	2816.5	45.9
180	167.8	3645.5	50.1
171.7	167.6	2860.5	47.4
179.1	165.2	3233.2	49.4
177.5	168.5	3308.1	49.8
174.8	172.5	3582.7	49.7
174.4	171.4	3311.4	49.9
183.5	164.2	3887.2	52.1
180.4	167.7	3251.2	48.5
174	169	2926	48.7
174	165.2	2402.7	44.7
169.8	168.6	2861.3	47.6
176.1	167.5	3407.7	50.9
177.8	165.9	3707.5	50.7
175	160.7	2148	45.1
173.1	169.3	3564.7	49.9
178.5	167.5	2908.5	48.7
180.7	166.3	3193.1	49.3
177.4	167.7	3161.2	49.4
180.9	163.2	3722.3	51.1
173.9	175.1	3570.3	50.3
173.7	171.8	2886.9	47.6
179.4	163	3116.3	49.1
176.9	162	2540.7	47
175.1	170.3	3692.2	51.2
175.9	170.8	3520.2	50.2
177.5	167	3049.1	48.6
182.6	164.1	3326.5	50.2
172	164.7	3488.5	49.7
179.9	164.1	3177.6	49
175.3	171.9	3361.7	49.8
174.7	167.9	3004.5	47.8
175.1	165.4	3113	48.9
172	165.1	2679.5	47.7
181.7	167	3964.9	53.4
178.7	170	4247.5	53.1
181.4	174.3	3989.1	52.1
175.7	162.1	2942.9	48.8
170.5	169	2823.1	47.4
181.7	166.4	3555.2	50.7
183.8	165	3323.7	49.3
176	164.8	3075.5	48.9
176.4	166.9	2640.1	45
177.3	159.8	2842.1	48.9
177.4	168.9	2948.4	47.9
174.9	172.2	3790.2	52.1
182.3	170.4	3363.2	49.3
179.2	164.2	3049.4	48.3
176.5	172.3	3377.9	49.5
175.5	168.2	3160.4	49.3
178.9	169.5	3759.7	50.2
178.2	166	3071.5	49.1
187.9	166.5	3614.7	49.1
173.2	164.1	2994.2	48.3
176.6	164.2	2739.3	47
178.6	169.2	3545.1	49.1
174.2	170.2	2622.9	45.5
175.6	169.5	3273.9	50
183.5	171.2	4173.6	52.3
172.9	166.1	2891.7	47.9
177	170.3	3628.5	51.1
176.8	165.5	3066.1	48.4
182.7	171.2	3961.7	51.4
170.8	169.2	2938.5	49.2
172.8	170.1	3173.1	49.5
178.5	165.4	3135	48.9
181.2	164.8	2729.4	46.1
173.5	169.1	3209.2	47.8
173.4	165.2	2922.6	47.4
174.7	170.8	3972.9	51.9
177.4	171.3	3354.7	49.5
174.5	169.6	3214.8	49.3
176.7	159.9	3118.2	49.7
178.5	168.5	3430.6	49.1
176.5	172.7	3868.3	51.2
175	168.4	3611.4	51.3
