"Weight"	"Length"
3676.9	51.6
2828.1	48.2
3853.5	51.8
3815.3	51.3
3558.8	50.3
2937.5	47.4
2689.1	48.3
3108.9	49
3272.1	49.2
3486.2	50.3
3195.6	51.1
2345.6	45.2
2687	47.6
2940.1	48.5
3111.5	48.4
3703	52
3744.6	53
3992.4	52.9
2760.7	47.1
3102.4	49
3382.9	49.8
3449.6	49.5
3121.9	48.9
1939.6	43.5
3776.1	51.3
3536.2	50.9
3868.4	51.9
3620.9	51
3788.3	52.3
3561.2	49.2
2942.6	48.3
3277.8	50.8
3138.5	49.7
3228	48.3
3108.7	48.6
3120.6	48.7
3238.8	51.3
4105.9	52.6
3903.2	51.9
3345.3	48
2998.5	49.3
3230	50
2223.5	44.1
3015.4	47.2
2665.9	46.5
3106	49.1
3299.2	48.3
2588	47.5
2894.4	48
3034.6	48.4
3691.7	51.4
2607.4	46.9
3081.1	46.7
3344.5	50.4
3193.3	49.1
4115.8	51.7
3197.5	49.3
2788.7	47.2
3738.9	51.8
3702.9	50.1
3481.2	49.4
2756.1	48.2
4037.9	53.3
2694.5	45.6
2964	49.9
3701.2	51.5
3401.5	49.4
3158.5	48.3
2919.4	46.8
3425.3	50.9
2337.8	44.1
4118.1	54
3267.4	50
3553.4	52.1
3553.9	51.6
3368.9	49
3307.4	50.2
4069.4	53.5
3212.6	49.4
2816.4	47.3
3207.7	50.2
3728.4	51.8
2828.7	49.6
3506.8	51
2681.7	46.8
2350.2	45.9
3328.6	50.2
2912.9	48.3
3418.9	49.7
3690.4	51.3
2765.5	46.6
3118.1	49
2370.5	45.7
3356.9	50.4
3690.6	50.2
3046.7	47.1
3212.8	49.6
3348.8	49.9
2768.8	47.7
3910.3	50.5
3272.9	51.1
3187.4	48.6
2793.1	47.6
2510.5	47.1
3329.5	49.2
3443.3	50.6
2908.7	48.4
2831.5	47.3
3812.6	51.8
2016.6	43.4
3050.2	48.5
3774	51.7
2825	47.1
3246.8	48.7
3092.4	48.1
3068.3	48.7
3195	50.4
2911	47.6
2581.7	45.8
3053	47.7
2276.9	46
2690.6	46.5
3394.4	48.7
3518.5	50.2
3661.4	51
2586.3	47.6
2907.3	46.5
4127.2	52.9
2781.9	46.9
2643.5	47
3155.4	48.9
3310.6	51.1
2816.5	45.9
3645.5	50.1
2860.5	47.4
3233.2	49.4
3308.1	49.8
3582.7	49.7
3311.4	49.9
3887.2	52.1
3251.2	48.5
2926	48.7
2402.7	44.7
2861.3	47.6
3407.7	50.9
3707.5	50.7
2148	45.1
3564.7	49.9
2908.5	48.7
3193.1	49.3
3161.2	49.4
3722.3	51.1
3570.3	50.3
2886.9	47.6
3116.3	49.1
2540.7	47
3692.2	51.2
3520.2	50.2
3049.1	48.6
3326.5	50.2
3488.5	49.7
3177.6	49
3361.7	49.8
3004.5	47.8
3113	48.9
2679.5	47.7
3964.9	53.4
4247.5	53.1
3989.1	52.1
2942.9	48.8
2823.1	47.4
3555.2	50.7
3323.7	49.3
3075.5	48.9
2640.1	45
2842.1	48.9
2948.4	47.9
3790.2	52.1
3363.2	49.3
3049.4	48.3
3377.9	49.5
3160.4	49.3
3759.7	50.2
3071.5	49.1
3614.7	49.1
2994.2	48.3
2739.3	47
3545.1	49.1
2622.9	45.5
3273.9	50
4173.6	52.3
2891.7	47.9
3628.5	51.1
3066.1	48.4
3961.7	51.4
2938.5	49.2
3173.1	49.5
3135	48.9
2729.4	46.1
3209.2	47.8
2922.6	47.4
3972.9	51.9
3354.7	49.5
3214.8	49.3
3118.2	49.7
3430.6	49.1
3868.3	51.2
3611.4	51.3
2911.7	47
2937.2	48.1
3043.3	49.2
3467.7	50.7
2697.6	46
3195.2	49.2
2867.2	48.4
3519.7	51.9
2874.9	47.5
3770.2	52.1
4245.2	51.7
3270.2	48.6
3706	50.8
3015.5	48.9
3227.6	48.8
3576.1	50.9
3458.1	49.7
4044	51.1
2974.1	47.2
3273.7	50
3421	50.8
3332.6	50.4
4020.4	53.2
3364.2	49.7
2940.8	47.2
3636	51.7
4060.4	51.4
3759.8	51.6
3296.4	50.5
4114	53
2828.2	48.2
3269.8	50.2
3014.5	48.5
3596.2	49.6
3483.1	51.2
2676.3	46.5
2368	45.2
2830.1	47
2876.3	47.7
3402.6	49.9
3070	49.9
3406.2	50
3389.4	49.8
3096.5	49.9
2912.2	46.1
3373.8	48.8
3149.4	49.2
3563.1	52.2
3691.8	49.8
3213.9	50.8
3776.7	52.7
3840.9	50.9
2911.7	47.8
3224.6	48.4
2812.7	47.7
4290.5	53.5
3049.9	47.5
2753.7	47.8
2675.6	47.3
3125.5	48.8
2870.9	46.8
2669.8	47.2
3632.4	52.3
2141.5	43.8
3500.1	49.7
3081.5	49.4
3845.6	52.3
3130	50.3
3693	50.8
2805.5	48.7
3313.4	50.4
3573.1	51.4
2430.7	46.4
2734.5	46.9
2921.2	48.2
2355.8	45.2
3370.3	49.6
2689.3	48
3767.3	52.6
2578	46.7
3454.1	50.1
4091.1	52.2
2629.2	46.1
2927.1	48
2392.5	45
2802.9	46
2929.1	48
2351.9	45.7
3452.8	50.4
4258	53.6
3228.5	50.2
2795.2	47.9
2297.8	44.4
2954.9	46.6
3713.3	52.3
2916.9	47.8
2704	47.7
3122.5	48.1
2945	48.2
3037.4	48.7
3060.3	48.5
3250.3	48.1
2551	46.7
2643.4	45.9
3055.6	49.6
3238.7	48.8
2733.9	48.5
3408.6	50.5
2791.7	46.4
3844.7	51.7
3032	48.1
3433.9	49.6
2945.6	46.3
3583	50.4
2749.3	48.3
3194.2	48.1
2966.8	48.3
2702.6	46.6
3839.7	51.8
2820.2	47.4
2977.6	49.3
2612.4	47.7
2866.4	48.7
3117.1	49.2
4183.4	52.9
3184.2	48.6
3239.1	50
3462.4	50.5
3176.6	49
3599	51
2883	46.6
3165.4	48.5
3648	52.5
3002.5	49
3803	50.2
2252.1	45.9
3042.3	48.2
2303.4	45.8
3244	48.2
3593.9	51.3
2954.9	48.6
2747.4	46.8
3163.8	48.5
3605.1	51.6
3301.8	50.4
3311.4	49.6
3122.5	47.4
3845.8	51.3
3390.8	50.8
3085.1	46.9
2556	44.7
2483.4	45.9
3569.7	50.5
3224.2	50.2
3768.6	50.4
2958.3	48.3
2898.5	47.3
3238.7	49.2
2960.5	47.9
3629.6	51.5
2554.6	46.8
3829.7	52.8
3307.9	50.3
3468.3	49.4
3498.9	50.1
3465	51.5
3374.2	49.6
3918.1	51.6
2586.2	46
3681	50.2
2258.9	44.5
3164.6	47.5
2426.6	44.3
3417.5	51
3543.7	51.4
3435.2	50.6
2655.1	46.7
2343.6	44.8
2836.9	48.3
3035.3	49.3
3016.6	48.3
3581.2	51.6
2506.8	45.9
3028	48.3
2582.6	45.6
3208	50.3
3279.9	48.6
2991.8	48.9
2687.1	46.5
3757.6	52
2802.3	47.1
2688.3	47
3146.7	49
4140.3	51.4
3350.8	51.3
3059.2	49.9
3133.1	49.5
3812.9	51.2
4447.5	55
4204.1	53.1
3182.1	49.7
2512.7	47
2972.9	48.2
3031	48.9
3294.9	49.6
2877.2	48.8
3430.9	50
3169.5	48.1
3228.3	49.2
2704.8	46.1
3680.8	52.3
2381.3	45.9
3511.3	50.9
4506.5	54.5
3128.6	48.9
4134.1	51.1
2586.5	47
2331.3	46
2751.4	46
3251.7	48.6
4178.8	52.1
3511.8	50.8
2918.5	49.4
4027.8	52.6
3165.8	49.7
1923.5	43.6
3640.4	51.1
2580.9	46.6
3345.7	50
3456.6	49.2
2084.3	45.5
2680.1	46.1
2844.5	47.9
4337.9	54.8
3522.9	51.4
3169.4	49.7
4070.1	52.9
2978.4	48.4
3242.4	50.1
3549.6	49.3
2804.3	46
3037.6	49.1
3352.9	49.5
3421.4	50.4
3876	51
2976.4	48.1
3562	50.2
3344.7	49.3
3598.6	51.1
3041.7	48.4
3716.2	52.2
2920.3	48.6
3531.8	49.9
3404.4	49.5
3001.4	49.3
3973.9	51.1
3139.1	48.4
3540.8	51.6
3304.3	50.4
2041.9	43
3374.6	49.7
2978.5	48.6
2816.2	47
2862.4	46.7
3611.7	49.3
3590.2	49.1
2224	45.3
3375.9	50.2
3551.6	50.3
3878.2	51.1
3484.2	50.7
3810.3	53.3
2566.1	45.5
3164.5	48.5
3827.6	51.4
3148.7	50.2
3506.7	50
2725.4	48.2
4230	53.8
4132.5	50.9
3232.3	49.1
4379.4	54.5
3651.9	51.2
4079.5	53.3
3027.8	48.1
3178.3	49.7
4149.1	52.7
3434.4	50.2
3911.6	51.5
2629.8	45.9
2424.6	46.5
3206.1	50.2
2985.2	48.4
3296.1	49.7
3032.7	47.9
3014.5	47.9
3506.5	50.4
3106.8	49
4071.1	53.1
3939.8	52.6
3197.6	49.7
2996.6	49
2623	45.9
4067.3	52.5
3179.9	49
2370.7	45.5
3445.2	49.7
3242.3	49.4
3393.9	49.4
3241.9	49
3370.9	48
2990.6	49.2
3243.3	50.4
3412.6	50.5
3688.1	51.9
3239.9	48.3
2258.9	45.8
3961	51.9
3073	48.4
3507.1	50.1
3516.6	51.5
2741.4	47.7
3539.4	50.8
3155.9	47
3581.2	49.5
2935.7	47
3241.2	49.1
3544.6	50.9
3260.4	48.5
3181.5	49.8
2633.8	46
3638.5	50.8
3422.7	50.6
3880.9	52.6
2965.8	48.3
3408.2	49
3809.2	52.2
2952.5	47.6
3516.5	51.7
3417.3	51.2
3930.3	52
3074.1	47.8
2383.2	45.5
3050	48.5
